wallet,category,net_sol_pnl,sol_spent,sol_received,buys,sells,bought_pct,days_active,first_seen,last_seen
HbpeMcQYqjJDX9pMztYboBiQSHWAsviN2tNgZt3DaaF2,mostly_organic,0.9084,0.0986,1.0071,1,5,50.0,49,2025-10-14,2025-12-01
4epJ3qUBtwsPEKAgZRaRziiEFCk2AYCZMWSzpwatojsY,mostly_organic,0.6648,0.0397,0.7045,1,2,50.0,41,2025-10-11,2025-11-21
JBFfY8KMq6qkV855Um2qQF4Nwkbu6dWkuaYyFSWQfzq4,mostly_organic,0.1385,0.1882,0.3268,7,3,50.0,63,2025-10-12,2025-12-14
DzjssgqvUifPuhB8XCGDV1Zwk5Y7fsEHPfuPoCLj4bpC,mostly_organic,0.1078,0.1200,0.2278,1,2,50.0,14,2025-10-24,2025-11-07
B9hgwkgDYo3CGq5o8nzG8PhNFwyeuVoZH68yFZFFtUj4,mostly_organic,0.1018,0.0099,0.1118,1,1,50.0,21,2025-10-06,2025-10-27
659cZbHvgEvUHra4KY7RyqJiD9zZLrgGT4LNr2EH3wmF,mostly_organic,0.0614,0.0188,0.0802,1,1,50.0,11,2025-10-07,2025-10-18
DChqKBs72k594BKfhzoPkQtM9qsD87rvsvsnHBQC9DvZ,mostly_organic,0.0600,0.0585,0.1185,3,6,50.0,53,2025-10-21,2025-12-12
CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,mostly_organic,0.0546,0.1334,0.1880,2,2,50.0,1,2025-10-14,2025-10-14
DdfdrLPNVKHZLg8ePo3YX2425ZjU5SUjpZhd9Ld9S1dd,mostly_organic,0.0428,0.0169,0.0598,11,4,50.0,15,2025-10-07,2025-10-21
Bxz98jeuhgPVBfZRMVmawJZxLbGzzDYdVFUnAqGfM6TD,mostly_organic,0.0428,0.0040,0.0468,4,1,50.0,16,2025-10-06,2025-10-22
FFxvcWpJ66jr4fQkV54aWQckuFd9vqLmrTbzQpjotnEP,mostly_organic,0.0405,0.0260,0.0665,13,3,50.0,17,2025-10-07,2025-10-23
iBt37XXA2TfmkPR4vctKYJzqWN4Y4R2B4C1iNCd35S6,mostly_organic,0.0157,0.0500,0.0657,1,1,50.0,1,2025-12-12,2025-12-12
9WsN8fSuwWkKPMekwsi68g3SXgZnYarxC8AvVFh2bBkP,mostly_organic,0.0142,0.0141,0.0283,2,2,50.0,8,2025-10-10,2025-10-18
BoaCki4ur683oY5EhQR7u4LJ4kJPepSRMzVHXUC3TP3u,mostly_organic,0.0141,0.0220,0.0361,1,2,50.0,1,2025-12-12,2025-12-12
4Ujg9VCzpu7gEXRprNjacPZEkbDtwyHoCqJEibFBUH6A,mostly_organic,0.0132,0.0220,0.0352,1,2,50.0,1,2025-12-12,2025-12-12
5XY5219cu7aAn92wncETqJteSQqiHER4AFX58L3DVaae,mixed,0.3863,0.0859,0.4722,1,5,47.9,35,2025-10-23,2025-11-27
8SFT3oWjDBFa6Twxu8zXkrpi7BHSsZH679fGz9D9SVoA,mixed,0.2235,0.0342,0.2576,1,8,16.2,44,2025-10-30,2025-12-13
HMYL4TUQrqcKEqDSKwRddU8xr3WY29Vt6kGZMpPZcwMY,mixed,0.1614,0.0412,0.2026,4,2,39.9,29,2025-10-25,2025-11-23
A3HtEfaEWwwC8XUYSUVdJ2c9rdAXMCXzPFXz8GJ7mZKU,mixed,0.1445,0.1027,0.2471,3,5,42.2,48,2025-10-07,2025-11-24
7emjvRi3bvt1Dx61ikXgJVV9zQCwyETLBLBGGcTcMZEF,mixed,0.0683,0.0296,0.0979,1,3,22.5,13,2025-10-14,2025-10-27
5y9xm2jqALVg6aBp8oWy5QEn1RXURZfFCkQn4rb6wQgK,mixed,0.0638,0.0198,0.0837,1,2,16.8,4,2025-12-15,2025-12-18
9NYsrCEsmXTBqv8DN8hZEZ9sPKZ9D1ZZdDvEDYwikLzY,mixed,0.0428,0.0081,0.0510,7,2,20.4,9,2025-10-11,2025-10-20
A1vgNK8fGcQYazrPAnXD5zy4Akw1sC9DYLxWfqJ6Fm7m,mixed,0.0341,0.0150,0.0490,2,4,37.9,67,2025-10-06,2025-12-12
C16cKmtEj95vrGQj9reRu3GeLJ5ABXcLczp2y1yxqsin,mixed,0.0216,0.0135,0.0350,1,3,30.2,67,2025-10-06,2025-12-12
EnFMrYQFhCZEAKU6VeXzD6a5PkJz5LZJ194NkJpFEqhA,mixed,0.0215,0.0140,0.0354,1,3,30.7,67,2025-10-06,2025-12-12
6TCg3Y8k8c8kVvBWtzunXDtLXNGyeQguYcJ9sPx1bCXY,mixed,0.0203,0.0360,0.0562,2,3,48.0,67,2025-10-06,2025-12-12
4Y1DLHNN8dqzpzBQLud4zLjpaZCqGckidvkjM54268Zz,mixed,0.0185,0.0356,0.0540,2,4,48.0,67,2025-10-06,2025-12-12
69fP1imFMsbSRsZBAvmRdMAH8YSMjKTjRdTYxS3tLsjA,mixed,0.0176,0.0165,0.0341,3,4,40.0,67,2025-10-06,2025-12-12
66VvGXEKVDD3GzMATec7Nch2b3i1hTGqRneYt5jdpvB4,mixed,0.0171,0.0134,0.0305,1,3,30.1,67,2025-10-06,2025-12-12
C8qmFonF293MiEsmYbVJjjQHnKmbmnN4FYwCzXwQ1hgu,mixed,0.0159,0.0527,0.0686,3,5,48.7,67,2025-10-06,2025-12-12
9K69SdZ7HfaAML6UWoeQwq2cptoiK9pFk5qL6F77eBDG,mixed,0.0155,0.0359,0.0514,3,4,48.6,67,2025-10-06,2025-12-12
FEp6DVB8WyeCbqrjbU7nuQmDYYGcdH4raJEoPvMfUQFG,mixed,0.0150,0.0355,0.0505,2,4,48.2,67,2025-10-06,2025-12-12
